post_title,post_content,post_status,post_type,tax_ait-items,meta:_ait-item_subtitle,meta:_ait-item_map:address,meta:_ait-item_map:latitude,meta:_ait-item_map:longitude,meta:_ait-item_telephone,meta:_ait-item_web,meta:_ait-item_email,meta:_ait-item_headerType,meta:_ait-item_featuredItem,price_range,source_file,source_sheet
Mandarin Oriental Hotels #23,Mandarin Oriental Hotels - 2026,publish,ait-item,Hôtels & Séjours,Hotel,Location TBD,,,,,,map,true,3,Global_2000,Mandarin_Oriental
Mandarin Oriental Hotels #24,Mandarin Oriental Hotels - 2026,publish,ait-item,Hôtels & Séjours,Hotel,Location TBD,,,,,,map,true,3,Global_2000,Mandarin_Oriental
Mandarin Oriental Hotels #25,Mandarin Oriental Hotels - 2026,publish,ait-item,Hôtels & Séjours,Hotel,Location TBD,,,,,,map,true,3,Global_2000,Mandarin_Oriental
Mandarin Oriental Hotels #26,Mandarin Oriental Hotels - 2026,publish,ait-item,Hôtels & Séjours,Hotel,Location TBD,,,,,,map,true,3,Global_2000,Mandarin_Oriental
Mandarin Oriental Hotels #27,Mandarin Oriental Hotels - 2026,publish,ait-item,Hôtels & Séjours,Hotel,Location TBD,,,,,,map,true,3,Global_2000,Mandarin_Oriental
Mandarin Oriental Hotels #28,Mandarin Oriental Hotels - 2026,publish,ait-item,Hôtels & Séjours,Hotel,Location TBD,,,,,,map,true,3,Global_2000,Mandarin_Oriental
Mandarin Oriental Hotels #29,Mandarin Oriental Hotels - 2026,publish,ait-item,Hôtels & Séjours,Hotel,Location TBD,,,,,,map,true,3,Global_2000,Mandarin_Oriental
Mandarin Oriental Hotels #30,Mandarin Oriental Hotels - 2026,publish,ait-item,Hôtels & Séjours,Hotel,Location TBD,,,,,,map,true,3,Global_2000,Mandarin_Oriental
Mandarin Oriental Hotels #31,Mandarin Oriental Hotels - 2026,publish,ait-item,Hôtels & Séjours,Hotel,Location TBD,,,,,,map,true,3,Global_2000,Mandarin_Oriental
Mandarin Oriental Hotels #32,Mandarin Oriental Hotels - 2026,publish,ait-item,Hôtels & Séjours,Hotel,Location TBD,,,,,,map,true,3,Global_2000,Mandarin_Oriental
Mandarin Oriental Hotels #33,Mandarin Oriental Hotels - 2026,publish,ait-item,Hôtels & Séjours,Hotel,Location TBD,,,,,,map,true,3,Global_2000,Mandarin_Oriental
Mandarin Oriental Hotels #34,Mandarin Oriental Hotels - 2026,publish,ait-item,Hôtels & Séjours,Hotel,Location TBD,,,,,,map,true,3,Global_2000,Mandarin_Oriental
Mandarin Oriental Hotels #35,Mandarin Oriental Hotels - 2026,publish,ait-item,Hôtels & Séjours,Hotel,Location TBD,,,,,,map,true,3,Global_2000,Mandarin_Oriental
Mandarin Oriental Hotels #36,Mandarin Oriental Hotels - 2026,publish,ait-item,Hôtels & Séjours,Hotel,Location TBD,,,,,,map,true,3,Global_2000,Mandarin_Oriental
Mandarin Oriental Hotels #37,Mandarin Oriental Hotels - 2026,publish,ait-item,Hôtels & Séjours,Hotel,Location TBD,,,,,,map,true,3,Global_2000,Mandarin_Oriental
Mandarin Oriental Hotels #38,Mandarin Oriental Hotels - 2026,publish,ait-item,Hôtels & Séjours,Hotel,Location TBD,,,,,,map,true,3,Global_2000,Mandarin_Oriental
Mandarin Oriental Hotels #39,Mandarin Oriental Hotels - 2026,publish,ait-item,Hôtels & Séjours,Hotel,Location TBD,,,,,,map,true,3,Global_2000,Mandarin_Oriental
Mandarin Oriental Hotels #40,Mandarin Oriental Hotels - 2026,publish,ait-item,Hôtels & Séjours,Hotel,Location TBD,,,,,,map,true,3,Global_2000,Mandarin_Oriental
Mandarin Oriental Hotels #41,Mandarin Oriental Hotels - 2026,publish,ait-item,Hôtels & Séjours,Hotel,Location TBD,,,,,,map,true,3,Global_2000,Mandarin_Oriental
Mandarin Oriental Hotels #42,Mandarin Oriental Hotels - 2026,publish,ait-item,Hôtels & Séjours,Hotel,Location TBD,,,,,,map,true,3,Global_2000,Mandarin_Oriental
Mandarin Oriental Hotels #43,Mandarin Oriental Hotels - 2026,publish,ait-item,Hôtels & Séjours,Hotel,Location TBD,,,,,,map,true,3,Global_2000,Mandarin_Oriental
Mandarin Oriental Hotels #44,Mandarin Oriental Hotels - 2026,publish,ait-item,Hôtels & Séjours,Hotel,Location TBD,,,,,,map,true,3,Global_2000,Mandarin_Oriental
Mandarin Oriental Hotels #45,Mandarin Oriental Hotels - 2026,publish,ait-item,Hôtels & Séjours,Hotel,Location TBD,,,,,,map,true,3,Global_2000,Mandarin_Oriental
Mandarin Oriental Hotels #46,Mandarin Oriental Hotels - 2026,publish,ait-item,Hôtels & Séjours,Hotel,Location TBD,,,,,,map,true,3,Global_2000,Mandarin_Oriental
Aman Venice,Palazzo luxury,publish,ait-item,Hôtels & Séjours,Hotel Luxury 5★,"Palazzo Papadopoli, Grand Canal, 30125 Venice",,,+39 41 270 7333,www.aman.com/resorts/aman-venice,amanvenice@aman.com,map,true,4,Global_2000,Aman_Resorts
Aman Tokyo,Modern Japanese,publish,ait-item,Hôtels & Séjours,Hotel Luxury 5★,"6-chome Roppongi, Minato, 106-0032 Tokyo",,,+81 3 5114 8000,www.aman.com/resorts/aman-tokyo,amantokyo@aman.com,map,true,4,Global_2000,Aman_Resorts
Aman Paris,Left Bank iconic,publish,ait-item,Hôtels & Séjours,Hotel Luxury 5★,"47 Rue Saint-André des Arts, 75006 Paris",,,+33 1 85 97 62 00,www.aman.com/resorts/aman-paris,amanparis@aman.com,map,true,4,Global_2000,Aman_Resorts
Aman Bangkok,Riverside palace,publish,ait-item,Hôtels & Séjours,Hotel Luxury 5★,"30 Arun Amarin Road, 10100 Bangkok",,,+66 2 283 8888,www.aman.com/resorts/aman-bangkok,amanbangkok@aman.com,map,true,4,Global_2000,Aman_Resorts
Aman New York,Flatiron luxury,publish,ait-item,Hôtels & Séjours,Hotel Luxury 5★,"30 Park Avenue South, 10003 New York",,,+1 212 355 4040,www.aman.com/resorts/aman-newyork,amannewyork@aman.com,map,true,4,Global_2000,Aman_Resorts
Aman Resorts #6,Aman Resorts - 2026,publish,ait-item,Hôtels & Séjours,Hotel,Location TBD,,,,,,map,true,3,Global_2000,Aman_Resorts
Aman Resorts #7,Aman Resorts - 2026,publish,ait-item,Hôtels & Séjours,Hotel,Location TBD,,,,,,map,true,3,Global_2000,Aman_Resorts
Aman Resorts #8,Aman Resorts - 2026,publish,ait-item,Hôtels & Séjours,Hotel,Location TBD,,,,,,map,true,3,Global_2000,Aman_Resorts
Aman Resorts #9,Aman Resorts - 2026,publish,ait-item,Hôtels & Séjours,Hotel,Location TBD,,,,,,map,true,3,Global_2000,Aman_Resorts
Aman Resorts #10,Aman Resorts - 2026,publish,ait-item,Hôtels & Séjours,Hotel,Location TBD,,,,,,map,true,3,Global_2000,Aman_Resorts
Aman Resorts #11,Aman Resorts - 2026,publish,ait-item,Hôtels & Séjours,Hotel,Location TBD,,,,,,map,true,3,Global_2000,Aman_Resorts
Aman Resorts #12,Aman Resorts - 2026,publish,ait-item,Hôtels & Séjours,Hotel,Location TBD,,,,,,map,true,3,Global_2000,Aman_Resorts
Aman Resorts #13,Aman Resorts - 2026,publish,ait-item,Hôtels & Séjours,Hotel,Location TBD,,,,,,map,true,3,Global_2000,Aman_Resorts
Aman Resorts #14,Aman Resorts - 2026,publish,ait-item,Hôtels & Séjours,Hotel,Location TBD,,,,,,map,true,3,Global_2000,Aman_Resorts
Aman Resorts #15,Aman Resorts - 2026,publish,ait-item,Hôtels & Séjours,Hotel,Location TBD,,,,,,map,true,3,Global_2000,Aman_Resorts
Aman Resorts #16,Aman Resorts - 2026,publish,ait-item,Hôtels & Séjours,Hotel,Location TBD,,,,,,map,true,3,Global_2000,Aman_Resorts
Aman Resorts #17,Aman Resorts - 2026,publish,ait-item,Hôtels & Séjours,Hotel,Location TBD,,,,,,map,true,3,Global_2000,Aman_Resorts
Aman Resorts #18,Aman Resorts - 2026,publish,ait-item,Hôtels & Séjours,Hotel,Location TBD,,,,,,map,true,3,Global_2000,Aman_Resorts
Aman Resorts #19,Aman Resorts - 2026,publish,ait-item,Hôtels & Séjours,Hotel,Location TBD,,,,,,map,true,3,Global_2000,Aman_Resorts
Aman Resorts #20,Aman Resorts - 2026,publish,ait-item,Hôtels & Séjours,Hotel,Location TBD,,,,,,map,true,3,Global_2000,Aman_Resorts
Aman Resorts #21,Aman Resorts - 2026,publish,ait-item,Hôtels & Séjours,Hotel,Location TBD,,,,,,map,true,3,Global_2000,Aman_Resorts
Aman Resorts #22,Aman Resorts - 2026,publish,ait-item,Hôtels & Séjours,Hotel,Location TBD,,,,,,map,true,3,Global_2000,Aman_Resorts
Aman Resorts #23,Aman Resorts - 2026,publish,ait-item,Hôtels & Séjours,Hotel,Location TBD,,,,,,map,true,3,Global_2000,Aman_Resorts
Aman Resorts #24,Aman Resorts - 2026,publish,ait-item,Hôtels & Séjours,Hotel,Location TBD,,,,,,map,true,3,Global_2000,Aman_Resorts
Aman Resorts #25,Aman Resorts - 2026,publish,ait-item,Hôtels & Séjours,Hotel,Location TBD,,,,,,map,true,3,Global_2000,Aman_Resorts
Aman Resorts #26,Aman Resorts - 2026,publish,ait-item,Hôtels & Séjours,Hotel,Location TBD,,,,,,map,true,3,Global_2000,Aman_Resorts
Aman Resorts #27,Aman Resorts - 2026,publish,ait-item,Hôtels & Séjours,Hotel,Location TBD,,,,,,map,true,3,Global_2000,Aman_Resorts
Aman Resorts #28,Aman Resorts - 2026,publish,ait-item,Hôtels & Séjours,Hotel,Location TBD,,,,,,map,true,3,Global_2000,Aman_Resorts
Aman Resorts #29,Aman Resorts - 2026,publish,ait-item,Hôtels & Séjours,Hotel,Location TBD,,,,,,map,true,3,Global_2000,Aman_Resorts
Aman Resorts #30,Aman Resorts - 2026,publish,ait-item,Hôtels & Séjours,Hotel,Location TBD,,,,,,map,true,3,Global_2000,Aman_Resorts
Aman Resorts #31,Aman Resorts - 2026,publish,ait-item,Hôtels & Séjours,Hotel,Location TBD,,,,,,map,true,3,Global_2000,Aman_Resorts
Aman Resorts #32,Aman Resorts - 2026,publish,ait-item,Hôtels & Séjours,Hotel,Location TBD,,,,,,map,true,3,Global_2000,Aman_Resorts
Aman Resorts #33,Aman Resorts - 2026,publish,ait-item,Hôtels & Séjours,Hotel,Location TBD,,,,,,map,true,3,Global_2000,Aman_Resorts
Aman Resorts #34,Aman Resorts - 2026,publish,ait-item,Hôtels & Séjours,Hotel,Location TBD,,,,,,map,true,3,Global_2000,Aman_Resorts
Aman Resorts #35,Aman Resorts - 2026,publish,ait-item,Hôtels & Séjours,Hotel,Location TBD,,,,,,map,true,3,Global_2000,Aman_Resorts
Aman Resorts #36,Aman Resorts - 2026,publish,ait-item,Hôtels & Séjours,Hotel,Location TBD,,,,,,map,true,3,Global_2000,Aman_Resorts
Rosewood London,Georgian elegance,publish,ait-item,Hôtels & Séjours,Hotel Luxury 5★,"252 High Holborn, WC1V 7EN London",,,+44 20 3747 8888,www.rosewoodhotels.com/london,london@rosewoodhotels.com,map,true,4,Global_2000,Rosewood_Hotels
Rosewood New York,Times Square iconic,publish,ait-item,Hôtels & Séjours,Hotel Luxury 5★,"154 West 44th Street, 10036 New York",,,+1 212 201 2700,www.rosewoodhotels.com/newyork,newyork@rosewoodhotels.com,map,true,4,Global_2000,Rosewood_Hotels
Rosewood Bangkok,Modern Thai luxury,publish,ait-item,Hôtels & Séjours,Hotel Luxury 5★,"1041 Ploenchit Road, 10330 Bangkok",,,+66 2 060 9000,www.rosewoodhotels.com/bangkok,bangkok@rosewoodhotels.com,map,true,4,Global_2000,Rosewood_Hotels
Rosewood Jeddah,Red Sea luxury,publish,ait-item,Hôtels & Séjours,Hotel Luxury 5★,"Al Cornish Street, 23414 Jeddah",,,+966 12 656 0000,www.rosewoodhotels.com/jeddah,jeddah@rosewoodhotels.com,map,true,4,Global_2000,Rosewood_Hotels
Rosewood Castiglion del Bosco,Tuscan resort,publish,ait-item,Hôtels & Séjours,Resort Luxury 5★,"Montalcino, Val d'Orcia, 53024 Siena",,,+39 577 191 3000,www.rosewoodhotels.com/castiglion,castiglion@rosewoodhotels.com,map,true,4,Global_2000,Rosewood_Hotels
Rosewood Hotels #6,Rosewood Hotels - 2026,publish,ait-item,Hôtels & Séjours,Hotel,Location TBD,,,,,,map,true,3,Global_2000,Rosewood_Hotels
Rosewood Hotels #7,Rosewood Hotels - 2026,publish,ait-item,Hôtels & Séjours,Hotel,Location TBD,,,,,,map,true,3,Global_2000,Rosewood_Hotels
Rosewood Hotels #8,Rosewood Hotels - 2026,publish,ait-item,Hôtels & Séjours,Hotel,Location TBD,,,,,,map,true,3,Global_2000,Rosewood_Hotels
Rosewood Hotels #9,Rosewood Hotels - 2026,publish,ait-item,Hôtels & Séjours,Hotel,Location TBD,,,,,,map,true,3,Global_2000,Rosewood_Hotels
Rosewood Hotels #10,Rosewood Hotels - 2026,publish,ait-item,Hôtels & Séjours,Hotel,Location TBD,,,,,,map,true,3,Global_2000,Rosewood_Hotels
Rosewood Hotels #11,Rosewood Hotels - 2026,publish,ait-item,Hôtels & Séjours,Hotel,Location TBD,,,,,,map,true,3,Global_2000,Rosewood_Hotels
Rosewood Hotels #12,Rosewood Hotels - 2026,publish,ait-item,Hôtels & Séjours,Hotel,Location TBD,,,,,,map,true,3,Global_2000,Rosewood_Hotels
Rosewood Hotels #13,Rosewood Hotels - 2026,publish,ait-item,Hôtels & Séjours,Hotel,Location TBD,,,,,,map,true,3,Global_2000,Rosewood_Hotels
Rosewood Hotels #14,Rosewood Hotels - 2026,publish,ait-item,Hôtels & Séjours,Hotel,Location TBD,,,,,,map,true,3,Global_2000,Rosewood_Hotels
Rosewood Hotels #15,Rosewood Hotels - 2026,publish,ait-item,Hôtels & Séjours,Hotel,Location TBD,,,,,,map,true,3,Global_2000,Rosewood_Hotels
Rosewood Hotels #16,Rosewood Hotels - 2026,publish,ait-item,Hôtels & Séjours,Hotel,Location TBD,,,,,,map,true,3,Global_2000,Rosewood_Hotels
Rosewood Hotels #17,Rosewood Hotels - 2026,publish,ait-item,Hôtels & Séjours,Hotel,Location TBD,,,,,,map,true,3,Global_2000,Rosewood_Hotels
Rosewood Hotels #18,Rosewood Hotels - 2026,publish,ait-item,Hôtels & Séjours,Hotel,Location TBD,,,,,,map,true,3,Global_2000,Rosewood_Hotels
Rosewood Hotels #19,Rosewood Hotels - 2026,publish,ait-item,Hôtels & Séjours,Hotel,Location TBD,,,,,,map,true,3,Global_2000,Rosewood_Hotels
Rosewood Hotels #20,Rosewood Hotels - 2026,publish,ait-item,Hôtels & Séjours,Hotel,Location TBD,,,,,,map,true,3,Global_2000,Rosewood_Hotels
Rosewood Hotels #21,Rosewood Hotels - 2026,publish,ait-item,Hôtels & Séjours,Hotel,Location TBD,,,,,,map,true,3,Global_2000,Rosewood_Hotels
Rosewood Hotels #22,Rosewood Hotels - 2026,publish,ait-item,Hôtels & Séjours,Hotel,Location TBD,,,,,,map,true,3,Global_2000,Rosewood_Hotels
Rosewood Hotels #23,Rosewood Hotels - 2026,publish,ait-item,Hôtels & Séjours,Hotel,Location TBD,,,,,,map,true,3,Global_2000,Rosewood_Hotels
Rosewood Hotels #24,Rosewood Hotels - 2026,publish,ait-item,Hôtels & Séjours,Hotel,Location TBD,,,,,,map,true,3,Global_2000,Rosewood_Hotels
Rosewood Hotels #25,Rosewood Hotels - 2026,publish,ait-item,Hôtels & Séjours,Hotel,Location TBD,,,,,,map,true,3,Global_2000,Rosewood_Hotels
Rosewood Hotels #26,Rosewood Hotels - 2026,publish,ait-item,Hôtels & Séjours,Hotel,Location TBD,,,,,,map,true,3,Global_2000,Rosewood_Hotels
Rosewood Hotels #27,Rosewood Hotels - 2026,publish,ait-item,Hôtels & Séjours,Hotel,Location TBD,,,,,,map,true,3,Global_2000,Rosewood_Hotels
Rosewood Hotels #28,Rosewood Hotels - 2026,publish,ait-item,Hôtels & Séjours,Hotel,Location TBD,,,,,,map,true,3,Global_2000,Rosewood_Hotels
Rosewood Hotels #29,Rosewood Hotels - 2026,publish,ait-item,Hôtels & Séjours,Hotel,Location TBD,,,,,,map,true,3,Global_2000,Rosewood_Hotels
Rosewood Hotels #30,Rosewood Hotels - 2026,publish,ait-item,Hôtels & Séjours,Hotel,Location TBD,,,,,,map,true,3,Global_2000,Rosewood_Hotels
Rosewood Hotels #31,Rosewood Hotels - 2026,publish,ait-item,Hôtels & Séjours,Hotel,Location TBD,,,,,,map,true,3,Global_2000,Rosewood_Hotels
Rosewood Hotels #32,Rosewood Hotels - 2026,publish,ait-item,Hôtels & Séjours,Hotel,Location TBD,,,,,,map,true,3,Global_2000,Rosewood_Hotels
Rosewood Hotels #33,Rosewood Hotels - 2026,publish,ait-item,Hôtels & Séjours,Hotel,Location TBD,,,,,,map,true,3,Global_2000,Rosewood_Hotels
Rosewood Hotels #34,Rosewood Hotels - 2026,publish,ait-item,Hôtels & Séjours,Hotel,Location TBD,,,,,,map,true,3,Global_2000,Rosewood_Hotels
Rosewood Hotels #35,Rosewood Hotels - 2026,publish,ait-item,Hôtels & Séjours,Hotel,Location TBD,,,,,,map,true,3,Global_2000,Rosewood_Hotels
Rosewood Hotels #36,Rosewood Hotels - 2026,publish,ait-item,Hôtels & Séjours,Hotel,Location TBD,,,,,,map,true,3,Global_2000,Rosewood_Hotels
Rosewood Hotels #37,Rosewood Hotels - 2026,publish,ait-item,Hôtels & Séjours,Hotel,Location TBD,,,,,,map,true,3,Global_2000,Rosewood_Hotels
Rosewood Hotels #38,Rosewood Hotels - 2026,publish,ait-item,Hôtels & Séjours,Hotel,Location TBD,,,,,,map,true,3,Global_2000,Rosewood_Hotels
Rosewood Hotels #39,Rosewood Hotels - 2026,publish,ait-item,Hôtels & Séjours,Hotel,Location TBD,,,,,,map,true,3,Global_2000,Rosewood_Hotels
Rosewood Hotels #40,Rosewood Hotels - 2026,publish,ait-item,Hôtels & Séjours,Hotel,Location TBD,,,,,,map,true,3,Global_2000,Rosewood_Hotels
Rosewood Hotels #41,Rosewood Hotels - 2026,publish,ait-item,Hôtels & Séjours,Hotel,Location TBD,,,,,,map,true,3,Global_2000,Rosewood_Hotels
Rosewood Paris,Flagship Paris,publish,ait-item,Hôtels & Séjours,5-Star Hotel,"82 Avenue Champs-Élysées, 75008 Paris",,,+33 1 49 52 70 00,www.rosewoodhotels.com,,map,true,4,Global_2000,Rosewood_Hotels
Rosewood Rio de Janeiro,South America,publish,ait-item,Hôtels & Séjours,5-Star Hotel,"Copacabana, 20040020 Rio de Janeiro",,,+55 21 2512 1000,www.rosewoodhotels.com,,map,true,4,Global_2000,Rosewood_Hotels
Rosewood Tokyo,Japanese luxury,publish,ait-item,Hôtels & Séjours,5-Star Hotel,"Chiyoda Ward, 100-0005 Tokyo",,,+81 3 6438 8000,www.rosewoodhotels.com,,map,true,4,Global_2000,Rosewood_Hotels
Rosewood Hong Kong,Flagship Hong Kong,publish,ait-item,Hôtels & Séjours,5-Star Hotel,"Central, Central Hong Kong",,,+852 2822 8888,www.rosewoodhotels.com,,map,true,4,Global_2000,Rosewood_Hotels
Rosewood Dubai Marina,,publish,ait-item,Hôtels & Séjours,5-Star Hotel,"Dubai Marina, Dubai United Arab Emirates",,,www.rosewoodhotels.com,,Marina luxury,map,true,4,Global_2000,Rosewood_Hotels
Rosewood Abu Dhabi,,publish,ait-item,Hôtels & Séjours,5-Star Hotel,"Saadiyat Island, Abu Dhabi United Arab Emirates",,,www.rosewoodhotels.com,,Island resort,map,true,4,Global_2000,Rosewood_Hotels
Rosewood Singapore,Marina Bay,publish,ait-item,Hôtels & Séjours,5-Star Hotel,"Bayfront Avenue, 018956 Singapore",,,+65 6788 8888,www.rosewoodhotels.com,,map,true,4,Global_2000,Rosewood_Hotels
Rosewood Mexico City,Mexico flagship,publish,ait-item,Hôtels & Séjours,5-Star Hotel,"Polanco, 11560 Mexico City",,,+52 55 5531 8000,www.rosewoodhotels.com,,map,true,4,Global_2000,Rosewood_Hotels
Rosewood Miramar Beach,Beach resort,publish,ait-item,Hôtels & Séjours,5-Star Hotel,"Montecito, 93108 Santa Barbara",,,+1 805 570 2000,www.rosewoodhotels.com,,map,true,4,Global_2000,Rosewood_Hotels
Rosewood Peloponnese,Greek resort,publish,ait-item,Hôtels & Séjours,5-Star Hotel,"Costa Navarino, 27051 Messinia",,,+30 27230 71000,www.rosewoodhotels.com,,map,true,4,Global_2000,Rosewood_Hotels
Rosewood Tuscany,Tuscan estate,publish,ait-item,Hôtels & Séjours,5-Star Hotel,"Chianti, 53011 Castellina",,,+39 577 323 6789,www.rosewoodhotels.com,,map,true,4,Global_2000,Rosewood_Hotels
Rosewood Stockholm,Flagship Stockholm,publish,ait-item,Hôtels & Séjours,5-Star Hotel,"Norrmalm, 11155 Stockholm",,,+46 8 5025 0000,www.rosewoodhotels.com,,map,true,4,Global_2000,Rosewood_Hotels
Rosewood Vienna,Capital luxury,publish,ait-item,Hôtels & Séjours,5-Star Hotel,"Neubau, 1070 Vienna",,,+43 1 891 0000,www.rosewoodhotels.com,,map,true,4,Global_2000,Rosewood_Hotels
Rosewood Berlin,Flagship Berlin,publish,ait-item,Hôtels & Séjours,5-Star Hotel,"Charlottenburg, 10623 Berlin",,,+49 30 3100 0000,www.rosewoodhotels.com,,map,true,4,Global_2000,Rosewood_Hotels
Rosewood Cape Town,Clifton luxury,publish,ait-item,Hôtels & Séjours,5-Star Hotel,"Clifton, 8005 Cape Town",,,+27 21 430 3200,www.rosewoodhotels.com,,map,true,4,Global_2000,Rosewood_Hotels
Rosewood Macau,Gaming district,publish,ait-item,Hôtels & Séjours,5-Star Hotel,"Zhuhai, 999078 Macau",,,+853 8889 3663,www.rosewoodhotels.com,,map,true,4,Global_2000,Rosewood_Hotels
Rosewood Scottsdale,Desert resort,publish,ait-item,Hôtels & Séjours,5-Star Hotel,"Arizona, 85251 Scottsdale",,,+1 480 627 3200,www.rosewoodhotels.com,,map,true,4,Global_2000,Rosewood_Hotels
Rosewood Miami,Miami luxury,publish,ait-item,Hôtels & Séjours,5-Star Hotel,"Brickell, 33131 Miami",,,+1 305 808 1000,www.rosewoodhotels.com,,map,true,4,Global_2000,Rosewood_Hotels
Rosewood Istanbul,Istanbul luxury,publish,ait-item,Hôtels & Séjours,5-Star Hotel,"Beyoglu, 34433 Istanbul",,,+90 212 343 4343,www.rosewoodhotels.com,,map,true,4,Global_2000,Rosewood_Hotels
Rosewood São Paulo,Brazil flagship,publish,ait-item,Hôtels & Séjours,5-Star Hotel,"Vila Mariana, 04004000 São Paulo",,,+55 11 3053 8000,www.rosewoodhotels.com,,map,true,4,Global_2000,Rosewood_Hotels
Rosewood Almaty,Central Asian luxury,publish,ait-item,Hôtels & Séjours,5-Star Hotel,"Republic Avenue, 050010 Almaty",,,+7 727 291 6400,www.rosewoodhotels.com,,map,true,4,Global_2000,Rosewood_Hotels
